provider id,name,state,city,address,zip,ownership type - simple,ownership type - detailed,total surveys,date of last certification survey,date calculated,total deficiencies,complaint deficiencies,certification deficiencies,fms deficiencies
415674,INTERMOUNTAIN HOMECARE HOSPICE SALT LAKE,UT,SALT LAKE CITY,"2250 SOUTH 1300 WEST, SUITE A",84119,Non-profit,NON-PROFIT/Private,1,2007-09-27,2014-07-02,11,7,4,0
415675,INTERMOUNTAIN HOMECARE HOSPICE OF LOGAN,UT,LOGAN,"550 EAST 1400 NORTH, SUITE G",84341,For-profit,PROPRIETARY/Corporation,2,2012-02-01,2014-07-02,1,0,1,0
415676,CARING HANDS HOSPICE,UT,LAYTON,3579 NORTH 2175 EAST,84040,For-profit,PROPRIETARY/Corporation,2,2011-11-21,2014-07-02,1,0,1,0
415678,GENTIVA HOSPICE,UT,SALT LAKE CITY,"1111 EAST BRICKYARD RD, SUITE 107",84106,For-profit,PROPRIETARY/Corporation,2,2012-02-07,2014-07-02,1,1,0,0
415681,UINTAH BASIN HOSPICE,UT,ROOSEVELT,"26 WEST 200 NORTH, SUITE  78-15Y",84066,Other,Other,1,2007-03-29,2014-07-02,2,0,2,0
415682,ROCKY MOUNTAIN HOSPICE,UT,MURRAY,"5242 SOUTH COLLEGE DRIVE, SUITE 150",84123,Other,Other,1,2007-01-24,2014-07-02,0,0,0,0
415683,HORIZON HOSPICE SPECIALISTS,UT,SALT LAKE CITY,2835 EAST 3300 SOUTH,84109,For-profit,PROPRIETARY/Corporation,1,2006-10-27,2014-07-02,3,3,0,0
415685,SOUTH DAVIS HOSPICE,UT,BOUNTIFUL,401 SOUTH 400 EAST,84010,Non-profit,NON-PROFIT/Private,1,2007-01-31,2014-07-02,5,0,5,0
415687,HOSPICE FOR UTAH,UT,DRAPER,11639 SOUTH 700 EAST,84020,For-profit,PROPRIETARY/Corporation,1,2009-01-15,2014-07-02,6,6,0,0
415688,CARESOURCE HOSPICE,UT,SALT LAKE CITY,1624 EAST 4500 SOUTH,84117,For-profit,PROPRIETARY/Other,1,2008-06-24,2014-07-02,12,0,12,0
415689,GRAND COUNTY HOSPICE,UT,MOAB,719 WEST 400 NORTH,84532,Non-profit,NON-PROFIT/Private,1,2008-07-10,2014-07-02,2,0,2,0
415690,HARMONY HOSPICE,UT,MURRAY,5650 GREEN STREET,84123,For-profit,PROPRIETARY/Corporation,3,2012-04-13,2014-07-02,11,6,5,0
415692,GUNNISON VALLEY HOSPICE,UT,GUNNISON,45 E 100 N,84634,Other,Other,2,2012-08-23,2014-07-02,0,0,0,0
415693,SOUTHERN UTAH HOSPICE,UT,ST GEORGE,"640 EAST 700 SOUTH, SUITE 101",84770,For-profit,PROPRIETARY/Corporation,1,2009-11-04,2014-07-02,0,0,0,0
416557,VNA OF CHITTENDEN & GRAND ISLE COUNTIES,VT,COLCHESTER,1110 PRIM ROAD,5446,Non-profit,NON-PROFIT/Other,1,2009-02-25,2014-07-02,8,5,3,0
416558,FRANKLIN COUNTY HOME HEALTH & HOSPICE,VT,SAINT ALBANS,3 HOME HEALTH CIRCLE SUITE 1,5478,Non-profit,NON-PROFIT/Other,2,2011-03-16,2014-07-02,7,6,1,0
416559,CALEDONIA HOME HEALTH CARE,VT,SAINT JOHNSBURY,161 SHERMAN DRIVE,5819,For-profit,PROPRIETARY/Corporation,2,2013-04-09,2014-07-02,7,0,7,0
416560,LAMOILLE HHA,VT,MORRISVILLE,PO BOX 790,5661,Non-profit,NON-PROFIT/Other,1,2008-07-23,2014-07-02,0,0,0,0
416561,ORLEANS /ESSEX VNA & HOSPICE,VT,NEWPORT,46 LAKEMONT ROAD,5855,Non-profit,NON-PROFIT/Private,1,2007-10-04,2014-07-02,5,0,5,0
416562,CENTRAL VERMONT HOME HEALTH & HOSPICE,VT,BARRE,600 GRANGER ROAD,5641,Non-profit,NON-PROFIT/Private,2,2012-04-25,2014-07-02,11,1,10,0
416563,VNA & HOSPICE OF VERMONT AND NH,VT,BELLOWS FALLS,1 HOSPITAL COURT,5101,Non-profit,NON-PROFIT/Private,2,2010-04-28,2014-07-02,33,20,13,0
416564,SOUTHWESTERN  VT HOSPICE NETWORK,VT,RUTLAND,7 ALBERT CREE DRIVE,5702,Non-profit,NON-PROFIT/Private,1,2008-02-13,2014-07-02,16,10,6,0
416565,ADDISON CTY HHA HOSPICE,VT,MIDDLEBURY,PO BOX 754 ROUTE 7 NORTH,5753,Non-profit,NON-PROFIT/Private,1,2008-09-24,2014-07-02,2,0,2,0
422617,CAPITAL HOSPICE,VA,FALLS CHURCH,2900 TELESTAR COURT,22042,For-profit,PROPRIETARY/Corporation,4,2013-02-22,2014-07-02,19,17,2,0
422618,SENTARA HOME CARE SERVICES - CHESAPEAKE,VA,CHESAPEAKE,"535 INDEPENDENCE PARKWAY, SUITE 200",23320,Non-profit,NON-PROFIT/Other,2,2010-05-07,2014-07-02,2,1,1,0
422619,BON SECOURS HOSPICE,VA,PORTSMOUTH,485 RODMAN AVENUE,23707,Other,Other,2,2011-05-27,2014-07-02,0,0,0,0
422620,HOSPICE OF THE PIEDMONT INC,VA,CHARLOTTESVILLE,"675 PETER JEFFERSON PARKWAY, SUITE 300",22911,Non-profit,NON-PROFIT/Private,2,2012-02-09,2014-07-02,6,0,6,0
422621,"HOSPICE OF THE RAPIDAN, INC",VA,CULPEPER,"1200 SUNSET LANE, SUITE 2320 - PO BOX 1715",22701,Non-profit,NON-PROFIT/Other,2,2012-02-23,2014-07-02,7,0,7,0
422623,CARILION HOSPICE SERVICES NEW RIVER VALLEY,VA,RADFORD,701 RANDOLPH STREET SUITE 110,24141,Other,Other,2,2012-08-22,2014-07-02,1,0,1,0
422624,"BLUE RIDGE HOSPICE, INC",VA,WINCHESTER,"333 WEST CORK ST, SUITE 405",22601,Non-profit,NON-PROFIT/Private,2,2011-02-12,2014-07-02,0,0,0,0
422625,RIVERSIDE HOSPICE,VA,NEWPORT NEWS,"12420 WARWICK BOULEVARD, SUITE 6E",23606,Non-profit,NON-PROFIT/Private,1,2011-07-06,2014-07-02,0,0,0,0
422626,GOOD SAMARITAN HOSPICE INC,VA,ROANOKE,2408 ELECTRIC ROAD SW,24018,Non-profit,NON-PROFIT/Private,2,2012-05-04,2014-07-02,4,4,0,0
422628,AMEDISYS HOSPICE CARE,VA,SALEM,1312 WEST MAIN STREET,24153,For-profit,PROPRIETARY/Corporation,2,2011-05-23,2014-07-02,23,1,22,0
422629,BON SECOURS HOSPICE AND PALLIATIVE CARE,VA,RICHMOND,8580 MAGELLAN PARKWAY - BUILDING IV,23227,For-profit,PROPRIETARY/Corporation,2,2012-02-15,2014-07-02,2,2,0,0
422630,CARILION HOSPICE SERVICES OF ROANOKE,VA,ROANOKE,1615 FRANKLIN ROAD SW,24016,Non-profit,NON-PROFIT/Other,2,2011-02-15,2014-07-02,4,0,4,0
422631,ROCKBRIDGE AREA HOSPICE INC,VA,LEXINGTON,315 MYERS STREET,24450,For-profit,PROPRIETARY/Corporation,2,2011-02-01,2014-07-02,5,0,5,0
422632,"COMMONWEALTH HOME NURSING & HOSPICE, INC",VA,DANVILLE,159 EXECUTIVE DRIVE - SUITE H,24541,For-profit,PROPRIETARY/Corporation,2,2011-09-21,2014-07-02,1,1,0,0
422633,MARY WASHINGTON HOSPICE,VA,FREDERICKSBURG,5012 SOUTHPOINT PARKWAY,22407,Non-profit,NON-PROFIT/Private,2,2012-02-15,2014-07-02,6,0,6,0
422634,"CENTRA HEALTH, HOSPICE OF THE HILLS",VA,LYNCHBURG,2097 LANGHORNE ROAD,24501,Non-profit,NON-PROFIT/Other,2,2011-06-23,2014-07-02,11,9,2,0
422635,CARILION HOSPICE SVCS OF FRANKLIN COUNTY,VA,ROCKY MOUNT,"390 SOUTH MAIN STREET, SUITE 303",24151,Non-profit,NON-PROFIT/Other,2,2011-05-25,2014-07-02,3,0,3,0
422636,HOSPICE OF SOUTHWEST VIRGINIA,VA,WYTHEVILLE,1155 N 4TH STREET,24382,For-profit,PROPRIETARY/Corporation,2,2012-05-10,2014-07-02,0,0,0,0
422637,HOSPICE & PALLIATIVE CARE OF VIRGINIA,VA,NORTON,"18 SEVENTH STREET, NW, SUITE 302",24273,Non-profit,NON-PROFIT/Private,2,2012-03-14,2014-07-02,2,0,2,0
422639,FAMILYCARE HOME CARE & HOSPICE,VA,CULPEPER,"610 LAUREL STREET, SUITE 2",22701,Other,Other,1,2005-08-10,2014-07-02,0,0,0,0
422640,NORTHERN HOSPICE - CANA DIVISION,VA,CANA,15397 FANCY GAP ROAD,24317,Other,Other,1,2005-06-01,2014-07-02,0,0,0,0
422641,PERSONAL TOUCH HOME CARE & HOSPICE-NEWPORT NEWS,VA,NEWPORT NEWS,"733 THIMBLE SHOALS ROAD, SUITE 150",23606,For-profit,PROPRIETARY/Corporation,3,2014-01-10,2014-07-02,12,6,6,0
422642,GENTLE SHEPHERD HOSPICE INC,VA,ROANOKE,6045 PETERS CREEK ROAD,24019,For-profit,PROPRIETARY/Corporation,2,2011-11-03,2014-07-02,0,0,0,0
422645,RIVERSIDE WALTER REED HOSPICE,VA,GLOUCESTER,7358 MAIN STREET,23061,Non-profit,NON-PROFIT/Private,1,2011-07-25,2014-07-02,0,0,0,0
422646,TWIN COUNTY HOSPICE,VA,GALAX,"818 GLENDALE ROAD, SUITE 2",24333,Non-profit,NON-PROFIT/Other,2,2011-05-18,2014-07-02,7,0,7,0
422647,"CRATER COMMUNITY HOSPICE, INC",VA,PETERSBURG,3916 SOUTH CRATER ROAD,23805,Non-profit,NON-PROFIT/Private,2,2012-03-28,2014-07-02,9,4,5,0
422650,MOUNTAIN REGIONAL HOSPICE,VA,CLIFTON FORGE,537 MAIN STREET,24422,For-profit,PROPRIETARY/Corporation,2,2011-10-19,2014-07-02,7,0,7,0
422651,CMH COMMUNITY HOSPICE,VA,SOUTH HILL,300 EAST FERRELL STREET,23970,Non-profit,NON-PROFIT/Other,2,2011-03-04,2014-07-02,3,0,3,0
422653,SENTARA HOME CARE SERVICES,VA,HARRISONBURG,2000 BEERY ROAD,22801,Non-profit,NON-PROFIT/Private,2,2011-05-26,2014-07-02,7,0,7,0
422656,HOSPICE OF MEM HOSP OF MARTINSVILLE,VA,MARTINSVILLE,320 HOSPITAL DRIVE,24112,For-profit,PROPRIETARY/Corporation,2,2011-05-07,2014-07-02,0,0,0,0
422657,WELLMONT HOSPICE,VA,ABINGDON,361 B FALLS DRIVE,24210,Non-profit,NON-PROFIT/Other,2,2011-06-15,2014-07-02,10,0,10,0
422658,SENTARA HOME CARE SERVICES - NEWPORT NEWS,VA,WILLIAMSBURG,1100 PROFESSIONAL DRIVE,23185,For-profit,PROPRIETARY/Corporation,2,2011-06-16,2014-07-02,2,2,0,0
422659,HOSPICE & PALLIATIVE CARE OF THE EASTERN SHORE,VA,ONANCOCK,"165 MARKET STREET, SUITE 3",23417,Other,Other,2,2010-09-29,2014-07-02,0,0,0,0
422660,HEARTLAND HOME HEALTH CARE & HOSPICE,VA,VIRGINIA BEACH,"5029 CORPORATE WOODS DRIVE, SUITE 110, 130, 200",23462,For-profit,PROPRIETARY/Corporation,1,2013-09-09,2014-07-02,8,8,0,0
422661,CHESAPEAKE REGIONAL HOME CARE SERVICES,VA,CHESAPEAKE,667 KINGSBOROUGH SQUARE SUITE 201,23320,Government,Government and Non-Profit,2,2010-05-13,2014-07-02,0,0,0,0
422662,AUGUSTA HEALTH HOSPICE OF THE SHENANDOAH,VA,FISHERSVILLE,"64 SPORTS MEDICINE DRIVE, PO BOX 215",22939,Non-profit,NON-PROFIT/Private,3,2012-07-12,2014-07-02,9,0,9,0
422664,SOUTHAMPTON MEMORIAL HOSPICE,VA,FRANKLIN,100 FAIRVIEW DRIVE,23851,For-profit,PROPRIETARY/Corporation,2,2013-01-25,2014-07-02,0,0,0,0
422665,VIRGINIA HOME HEALTH AND HOSPICE,VA,RURAL RETREAT,"7061 WEST LEE HIGHWAY, SUITE B",24368,For-profit,PROPRIETARY/Corporation,2,2011-10-26,2014-07-02,2,0,2,0
422666,EVERCARE HOSPICE AND PALLIATIVE CARE,VA,RESTON,"12018 SUNRISE VALLEY DRIVE, SUITE 400",20191,For-profit,PROPRIETARY/Corporation,3,2013-11-15,2014-07-02,1,0,1,0
422667,BEDFORD HOSPICE CARE,VA,BEDFORD,"1621 WHITEFIELD DRIVE, SUITE C",24523,Non-profit,NON-PROFIT/Other,2,2011-06-23,2014-07-02,0,0,0,0
422668,GOODWIN HOUSE PALLIATIVE CARE AND HOSPICE,VA,FALLS CHURCH,3440 SOUTH JEFFERSON STREET,22041,Non-profit,NON-PROFIT/Other,3,2012-06-29,2014-07-02,5,0,5,0
422669,RIVERSIDE TAPPAHANNOCK HOSPICE,VA,TAPPAHANNOCK,289 HOSPITAL ROAD,22560,Non-profit,NON-PROFIT/Private,1,2011-07-06,2014-07-02,0,0,0,0
422670,HALIFAX REGIONAL HOSPICE,VA,SOUTH BOSTON,2204 WILBORN AVE,24592,Other,Other,3,2012-11-16,2014-07-02,14,2,12,0
422672,TOTAL HOME CARE HOSPICE,VA,RICHLANDS,174 KENTS RIDGE ROAD,24641,For-profit,PROPRIETARY/Corporation,2,2012-06-22,2014-07-02,13,5,8,0
422674,COMMUNITY HOSPICE OF VIRGINIA,VA,FALLS CHURCH,"520 N WASHINGTON STREET, 4TH FLR, SUITE 400",22046,Non-profit,NON-PROFIT/Private,1,2007-02-22,2014-07-02,0,0,0,0
427886,HOSPICE SOUTHWEST,WA,VANCOUVER,5400 MACARTHUR BLVD,98661,Non-profit,NON-PROFIT/Church,2,2012-03-28,2014-07-02,4,0,4,0
427887,HOSPICE OF SPOKANE,WA,SPOKANE,121 S ARTHUR STREET,99202,Non-profit,NON-PROFIT/Private,2,2007-11-13,2014-07-02,4,0,4,0
427888,COMMUNITY HOME HEALTH / HOSPICE,WA,LONGVIEW,1035 ELEVENTH AVE,98632,Non-profit,NON-PROFIT/Other,3,2013-02-26,2014-07-02,10,0,10,0
427889,HOSPICE OF THE NORTHWEST,WA,MOUNT VERNON,819 SOUTH 13TH STREET,98274,Government,Government and Non-Profit,2,2013-08-13,2014-07-02,5,0,5,0
427890,MULTICARE GOOD SAMARITAN HOSPICE,WA,TACOMA,3901 SOUTH FIFE STREET,98409,Non-profit,NON-PROFIT/Private,2,2010-05-19,2014-07-02,1,1,0,0
427892,TRI-CITIES CHAPLAINCY HOSPICE,WA,RICHLAND,1480 SE FOWLER STREET,99352,Non-profit,NON-PROFIT/Private,2,2013-06-18,2014-07-02,10,0,10,0
427893,PROVIDENCE SOUNDHOMECARE AND HOSPICE,WA,OLYMPIA,3432 SOUTH BAY ROAD NE,98506,Non-profit,NON-PROFIT/Private,2,2013-06-25,2014-07-02,0,0,0,0
427894,"ASSURED HOME HEALTH, HOSPICE & HOME CARE",WA,CENTRALIA,"2120 NORTHPARK STREET, SUITE B",98531,For-profit,PROPRIETARY/Corporation,1,2008-03-13,2014-07-02,0,0,0,0
427896,PROVIDENCE HOSPICE AND HOME CARE OF SNOHOMISH CO,WA,EVERETT,"2731 WETMORE AVENUE, SUITE 500",98201,Non-profit,NON-PROFIT/Private,2,2013-05-08,2014-07-02,1,0,1,0
427897,PROVIDENCE HOSPICE OF SEATTLE,WA,SEATTLE,"425 PONTIUS AVENUE NORTH,  #300",98109,Non-profit,NON-PROFIT/Private,2,2013-05-22,2014-07-02,4,2,2,0
427898,CENTRAL WASHINGTON HSA HOSPICE SERVICE,WA,WENATCHEE,1300 FULLER STREET,98801,For-profit,PROPRIETARY/Corporation,2,2013-10-23,2014-07-02,7,0,7,0
427899,HOSPICE OF KITSAP COUNTY,WA,SILVERDALE,3100 BUCKLIN HILL RD NE #201,98383,Non-profit,NON-PROFIT/Private,1,2008-04-21,2014-07-02,15,8,7,0
427900,YAKIMA REGIONAL HOME HEALTH & HOSPICE,WA,YAKIMA,7 SOUTH 10TH AVENUE,98902,For-profit,PROPRIETARY/Corporation,2,2010-07-30,2014-07-02,4,0,4,0
427901,LOWER VALLEY HOSPICE,WA,SUNNYSIDE,3920 OUTLOOK ROAD,98944,Non-profit,NON-PROFIT/Private,2,2013-08-28,2014-07-02,5,0,5,0
427902,WALLA WALLA COMMUNITY HOSPICE,WA,WALLA WALLA,1067 ISAACS AVENUE,99362,Non-profit,NON-PROFIT/Private,2,2011-08-17,2014-07-02,8,0,8,0
427903,GROUP HEALTH COOPERATIVE HOME & COMMUNITY SERVICES,WA,SEATTLE,201 - 16TH AVENUE EAST,98112,Non-profit,NON-PROFIT/Other,2,2013-05-15,2014-07-02,2,0,2,0
427904,SWEDISH VISITING NURSE SERVICES,WA,MOUNTLAKE TERRACE,"6100 - 219TH STREET SW, SUITE 400",98043,Non-profit,NON-PROFIT/Other,2,2011-11-16,2014-07-02,3,0,3,0
427905,EVERGREEN HEALTH HOSPICE CARE,WA,KIRKLAND,11800 NE 128TH STREET SUITE 200,98034,Government,GOVERNMENT/County,2,2012-03-29,2014-07-02,6,1,5,0
427906,HARBORS HOME HEALTH AND HOSPICE,WA,HOQUIAM,201 7TH STREET,98550,Non-profit,NON-PROFIT/Private,2,2013-06-11,2014-07-02,1,0,1,0
427907,FRANCISCAN HOSPICE,WA,UNIVERSITY PLACE,2901 BRIDGEPORT WAY,98466,Non-profit,NON-PROFIT/Church,2,2011-03-10,2014-07-02,1,1,0,0
427908,HIGHLINE HOME CARE SERVICES,WA,TUKWILA,2801 S 128TH STREET,98168,Non-profit,NON-PROFIT/Private,2,2013-10-29,2014-07-02,0,0,0,0
427909,ASSURED HOSPICE,WA,MOSES LAKE,1417 SOUTH PIONEER WAY,98837,For-profit,PROPRIETARY/Other,2,2013-02-13,2014-07-02,18,5,13,0
427910,KITTITAS VALLEY HOME HEALTH & HOSPICE,WA,ELLENSBURG,401 E MT VIEW AVE STE 3,98926,Government,GOVERNMENT/County,2,2011-01-04,2014-07-02,4,0,4,0
427912,MEMORIAL HOME CARE SERVICES,WA,YAKIMA,1019 S 40TH AVENUE,98908,Non-profit,NON-PROFIT/Other,2,2012-08-16,2014-07-02,17,1,16,0
427914,ELITE HOSPICE,WA,CLARKSTON,1100 HIGHLAND AVE,99403,Non-profit,NON-PROFIT/Other,2,2011-09-14,2014-07-02,2,0,2,0
427915,GENTIVA HOSPICE,WA,LIBERTY LAKE,22820 EAST APPLEWAY AVE,99019,For-profit,PROPRIETARY/Corporation,1,2008-05-28,2014-07-02,0,0,0,0
427916,HORIZON HOSPICE LLC,WA,SPOKANE,"123 W CASCADE WAY,  SUITE E",99208,For-profit,PROPRIETARY/Other,2,2013-03-20,2014-07-02,16,7,9,0
427917,FRONTIER HOME HEALTH AND HOSPICE,WA,OMAK,"800 JASMINE STREET, SUITE 2",98841,For-profit,PROPRIETARY/Other,1,2010-04-30,2014-07-02,4,0,4,0
430943,HOSPICE OF HUNTINGTON,WV,HUNTINGTON,P.O. BOX 464,25709,Non-profit,NON-PROFIT/Other,2,2011-06-09,2014-07-02,3,0,3,0
430944,"KANAWHA HOSPICE CARE, INC.",WV,CHARLESTON,1606 KANAWHA BOULEVARD WEST,25387,Non-profit,NON-PROFIT/Private,3,2012-09-19,2014-07-02,16,1,15,0
430945,"PEOPLE'S HOSPICE, INC",WV,BRIDGEPORT,327 MEDICAL PARK DRIVE,26330,Non-profit,NON-PROFIT/Private,2,2009-07-15,2014-07-02,5,0,5,0
430947,"HOSPICE CARE CORPORATION, INC",WV,ARTHURDALE,P O BOX 760,26520,Non-profit,NON-PROFIT/Other,2,2009-06-11,2014-07-02,14,5,9,0
430948,HOSPICE COMPASSUS - SOUTHERN WEST VIRGINIA,WV,PRINCETON,1330 MERCER STREET,24740,For-profit,PROPRIETARY/Other,2,2010-03-18,2014-07-02,17,0,17,0
430949,"HOSPICE OF SOUTHERN WEST VIRGINIA, INC",WV,BECKLEY,P O BOX 1472,25802,Non-profit,NON-PROFIT/Private,3,2011-05-19,2014-07-02,39,13,26,0
430950,HOSPICE OF THE PANHANDLE,WV,KEARNEYSVILLE,330 HOSPICE LANE,25430,Non-profit,NON-PROFIT/Private,2,2009-02-05,2014-07-02,5,0,5,0
430952,HOUSECALLS HOSPICE,WV,PARKERSBURG,37 12TH STREET,26101,For-profit,PROPRIETARY/Corporation,2,2013-08-14,2014-07-02,8,2,6,0
430953,JOURNEY HOSPICE,WV,SISTERSVILLE,314 SOUTH WELLS STREET,26175,Government,GOVERNMENT/City,3,2012-02-02,2014-07-02,53,0,53,0
430954,"MORGANTOWN HOSPICE, AN AMEDISYS PARTNER",WV,MORGANTOWN,"1063 MAPLE DRIVE,  SUITE 2B",26505,Non-profit,NON-PROFIT/Private,2,2012-05-23,2014-07-02,0,0,0,0
430956,"MOUNTAIN HOSPICE, INC.",WV,BELINGTON,1002 SOUTH CRIM AVENUE,26250,For-profit,PROPRIETARY/Corporation,2,2012-07-25,2014-07-02,13,7,6,0
430958,ST JOSEPH'S HOSPICE,WV,BUCKHANNON,1 AMALIA DRIVE,26201,Non-profit,NON-PROFIT/Church,2,2009-08-13,2014-07-02,4,0,4,0
430959,DIGNITY HOSPICE,WV,CHAPMANVILLE,P O BOX 4304,25508,Non-profit,NON-PROFIT/Private,3,2013-07-25,2014-07-02,42,2,40,0
430960,MVA HOSPICE OF MARION COUNTY,WV,FAIRMONT,P.O.BOX 1112,26554,Non-profit,NON-PROFIT/Private,1,2006-01-26,2014-07-02,14,0,14,0
430961,GRANT MEMORIAL HOSPICE,WV,PETERSBURG,"100 HOSPITAL DRIVE, SUITE 2",26847,Other,Other,2,2013-08-28,2014-07-02,3,0,3,0
430963,HOSPICE OF POTOMAC VALLEY HOSPITAL,WV,KEYSER,100 PIN OAK LANE,26726,For-profit,PROPRIETARY/Corporation,2,2011-05-11,2014-07-02,16,0,16,0
430964,PLEASANT VALLEY  HOSPICE,WV,POINT PLEASANT,1011 VIAND STREET,25550,Non-profit,NON-PROFIT/Private,2,2013-10-19,2014-07-02,0,0,0,0
430965,AMEDISYS HOSPICE CARE,WV,MORGANTOWN,5006 MID ATLANTIC DRIVE,26508,For-profit,PROPRIETARY/Other,2,2011-06-16,2014-07-02,16,8,8,0
435322,HOSPICE ALLIANCE,WI,PLEASANT PRAIRIE,10220 PRAIRIE RIDGE BLVD,53158,Non-profit,NON-PROFIT/Private,2,2011-05-18,2014-07-02,13,8,5,0
435323,UNITY HOSPICE,WI,DE PERE,2366 OAK RIDGE CIRCLE,54115,Non-profit,NON-PROFIT/Other,1,2007-10-12,2014-07-02,12,9,3,0
435324,THEDACARE AT HOME,WI,APPLETON,3000 E COLLEGE AVE  STE A,54915,Non-profit,NON-PROFIT/Private,1,2008-10-23,2014-07-02,10,7,3,0
435325,AGRACE HOSPICECARE,WI,MADISON,5395 E CHERYL PKWY,53711,Non-profit,NON-PROFIT/Other,2,2012-06-12,2014-07-02,0,0,0,0
435327,MAYO CLINIC HS FRANCISCAN HOSPICE,WI,LA CROSSE,212 S 11TH ST,54601,Non-profit,NON-PROFIT/Other,1,2008-10-23,2014-07-02,0,0,0,0
435328,HOMECARE HEALTH SERVICES AND HOSPICE,WI,MANITOWOC,1004 WASHINGTON ST,54220,For-profit,PROPRIETARY/Corporation,1,2008-11-06,2014-07-02,9,2,7,0
435329,DR KATE HOSPICE,WI,ARBOR VITAE,1571 HIGHWAY 51 NORTH   STE C,54568,Non-profit,NON-PROFIT/Church,1,2009-07-23,2014-07-02,5,4,1,0
435330,ST AGNES HSPTL HOSPICE HOPE,WI,FOND DU LAC,239 TROWBRIDGE DRIVE,54937,For-profit,PROPRIETARY/Corporation,1,2009-08-17,2014-07-02,3,0,3,0
435331,PRAIRIE DU CHIEN HOSPICE,WI,PRAIRIE DU CHIEN,705 E TAYLOR ST,53821,Non-profit,NON-PROFIT/Private,1,2009-06-03,2014-07-02,0,0,0,0
435332,ASPIRUS COMFORT CARE AND HOSPICE SVCS,WI,WAUSAU,333 PINE RIDGE BLVD,54401,Non-profit,NON-PROFIT/Other,2,2013-07-24,2014-07-02,16,12,4,0
435334,MINISTRY HC HOSPICE MARSHFIELD,WI,MARSHFIELD,303 W UPHAM ST STE 200,54449,For-profit,PROPRIETARY/Corporation,2,2012-02-29,2014-07-02,4,0,4,0
435335,HOPE HOSPICE PALLIATIVE CARE,WI,MEDFORD,537 W BROADWAY AVE,54451,Non-profit,NON-PROFIT/Other,2,2011-05-19,2014-07-02,6,0,6,0
435336,HILLSIDE HOSPICE,WI,BEAVER DAM,709 S UNIVERSITY AVE,53916,Non-profit,NON-PROFIT/Private,1,2010-09-01,2014-07-02,1,0,1,0
435337,MAYO CLINIC HEALTH SYSTEM HOME HEALTH & HOSPICE,WI,CHIPPEWA FALLS,4033 123RD ST,54729,Non-profit,NON-PROFIT/Private,1,2008-11-13,2014-07-02,2,2,0,0
435339,ADORAY HOSPICE,WI,BALDWIN,2231 HIGHWAY 12  STE 201,54002,Non-profit,NON-PROFIT/Other,1,2008-10-16,2014-07-02,0,0,0,0
435340,HOME HEALTH UNITED HOSPICE,WI,BARABOO,1600 JEFFERSON ST  STE 101,53913,Non-profit,NON-PROFIT/Private,1,2009-08-20,2014-07-02,0,0,0,0
435341,THE MONROE CLINIC HOSPICE,WI,MONROE,515 22ND AVE,53566,Non-profit,NON-PROFIT/Church,1,2008-10-22,2014-07-02,0,0,0,0
435343,BELOIT REGIONAL HOSPICE,WI,BELOIT,655 THIRD ST  STE 200,53511,Non-profit,NON-PROFIT/Private,2,2011-09-21,2014-07-02,9,3,6,0
435344,AFFINITY VISITING NURSES,WI,NEENAH,816 W WINNECONNE AVE,54956,Non-profit,NON-PROFIT/Church,2,2012-01-19,2014-07-02,8,3,5,0
435345,HOLY FAMILY MEMORIAL HOSPICE,WI,MANITOWOC,333 REED AVE,54221,Non-profit,NON-PROFIT/Church,1,2008-05-22,2014-07-02,1,0,1,0
435346,AURORA VISITING NURSE ASSOC OF WI,WI,WAUWATOSA,1155 HONEY CREEK PARKWAY,53213,Non-profit,NON-PROFIT/Private,3,2013-11-01,2014-07-02,8,7,1,0
435349,HORIZON HOMECARE AND HOSPICE,WI,MILWAUKEE,11400 W LAKE PARK DRIVE,53224,Non-profit,NON-PROFIT/Private,2,2010-09-29,2014-07-02,10,7,3,0
435350,MINISTRY HC HOSPICE STEVENS POINT,WI,STEVENS POINT,2501 MAIN ST  STE A,54481,Non-profit,NON-PROFIT/Church,1,2009-09-16,2014-07-02,0,0,0,0
435352,AURORA VISITING NURSE ASSOC OF WI,WI,PLYMOUTH,2636 EASTERN AVE,53073,Non-profit,NON-PROFIT/Other,1,2009-08-06,2014-07-02,8,8,0,0
435353,LE ROYER HOSPICE,WI,ANTIGO,112 E FIFTH AVE,54409,Non-profit,NON-PROFIT/Church,2,2012-09-12,2014-07-02,47,0,47,0
435354,PROHEALTH HOME HOSPICE,WI,HARTLAND,1020 JAMES DR  STE E,53029,Non-profit,NON-PROFIT/Other,1,2008-11-03,2014-07-02,4,2,2,0
435355,REGIONAL HOSPICE SERVICES,WI,ASHLAND,1913 BEASER AVE,54806,Non-profit,NON-PROFIT/Private,2,2011-06-16,2014-07-02,3,0,3,0
435356,GRANT COUNTY HOSPICE,WI,LANCASTER,111 S JEFFERSON ST  FLOOR 2,53813,Government,GOVERNMENT/County,2,2010-06-30,2014-07-02,8,0,8,0
435358,ST NICHOLAS HSPTL HHA AND HOSPICE,WI,SHEBOYGAN,3100 SUPERIOR AVE,53081,Non-profit,NON-PROFIT/Private,2,2011-06-09,2014-07-02,13,5,8,0
435360,VERNON MEMORIAL HOSPICE,WI,VIROQUA,705 ARENA DRIVE,54665,Non-profit,NON-PROFIT/Other,3,2014-02-19,2014-07-02,4,0,4,0
